title,brand,category,rating,rating_count_num,sold,price,original_price_num,savings,discount_pct,currency,delivery,link
"Kids Pretty Girl Doll Projector Watch for Girls-Kids Ben 10 Display Projector Watch For Kids - Doraemon, Kitty Cat, Minions Despicable Frozen and Chota Beem Cartoon Watch For Boys and Girls",Kids,Kids Watches,4.5,22,135,590.0,,,0.0,Rs.,Free Delivery,//www.daraz.pk/products/10-i426133472-s2064641371.html?search=1
Barbie Watch For Baby Girl.,Barbie,Kids Watches,5.0,4,0,235.0,239.0,4.0,1.67,Rs.,Free Delivery,//www.daraz.pk/products/-i450447223-s2143586795.html?search=1
"Projector Light Digital Watch For Kids, Kids Projector Wrist Watch 24 Images Increase your child mind creativity through these images",Projector,Kids Watches,3.8,4,35,420.0,699.0,279.0,39.91,Rs.,0,//www.daraz.pk/products/24-i435264053-s2089379606.html?search=1
"Children Sports Watch Robot Action Figures
                    Transformation T",Children,Kids Watches,3.0,8,57,699.0,999.0,300.0,30.03,Rs.,0,//www.daraz.pk/products/t-i214099430-s1422841349.html?search=1
Princess Digital 24 Images Automatic Projector Toy Watch for Kids School Girls Disney Princess Digital Wrist Watch,Princess,Kids Watches,4.1,11,0,590.0,999.0,409.0,40.94,Rs.,Free Delivery,//www.daraz.pk/products/24-i433553159-s2081089785.html?search=1
2 Watchs Led Smart Watch for Boy Men Smart Watch for girls Smart Watch for Kids Latest LED Watch for boys & girls Led Round Digital Watches for Kid Girl boys,2,Kids Watches,4.3,9,88,365.0,1000.0,635.0,63.5,Rs.,Free Delivery,//www.daraz.pk/products/2-led-led-led-i375694441-s1860845375.html?search=1
LED Square Digital smart Display watches for Girls Boys,LED,Kids Watches,3.4,15,274,227.0,700.0,473.0,67.57,Rs.,0,//www.daraz.pk/products/led-i422427467-s1998785349.html?search=1
Cartoon Car Children Watch | car watch for Boy Baby Fashion,Cartoon,Kids Watches,5.0,1,0,235.0,600.0,365.0,60.83,Rs.,Free Delivery,//www.daraz.pk/products/-i461288904-s2185730504.html?search=1
Special 7 Color Led Changing Light Sports Watch For Kids,Special,Kids Watches,4.5,16,90,299.0,899.0,600.0,66.74,Rs.,0,//www.daraz.pk/products/7-led-i100017031-s1013494170.html?search=1
Children LED Digital Watch Life Waterproof Boys Girls Luminous Bracelet Watch Kids Watches Toy Student Watch Gifts Multicolor,LED,Kids Watches,4.7,45,308,399.0,749.0,350.0,46.73,Rs.,Free Delivery,//www.daraz.pk/products/-i391288907-s1972453568.html?search=1
Digital Projector Wrist Watch Kids Boys & Girls Cartoon Display Watch One Picture,Digital,Kids Watches,4.3,6,0,325.0,499.0,174.0,34.87,Rs.,Free Delivery,//www.daraz.pk/products/-i434593262-s2126556326.html?search=1
Children Sports Watch Robot Action Figures Transformation T,Children,Kids Watches,3.7,7,34,699.0,999.0,300.0,30.03,Rs.,0,//www.daraz.pk/products/t-i214096460-s1422851279.html?search=1
KidsStylish LED Square Digital Smart Display Watches for Boys and Girls: Timekeeping with a Touch of Tech,LED,Kids Watches,4.6,5,50,195.0,500.0,305.0,61.0,Rs.,Free Delivery,//www.daraz.pk/products/led-i433192443-s2075727069.html?search=1
Digital Projector Wrist Watch Kids Projector Watch For Boys Cartoon Display Watch For Boys & Girls,Digital,Kids Watches,4.6,10,71,342.0,349.0,7.0,2.01,Rs.,Free Delivery,//www.daraz.pk/products/-i258021420-s1836150423.html?search=1
HOT DEALS NO1.Smart Watch Watch for boys and girls Smart Watch for Kids Latest LED Watch for boys & girls branded Sport Led Round Digital watch Watches for boy only 299,HOT,Kids Watches,4.7,14,137,289.0,400.0,111.0,27.75,Rs.,Free Delivery,//www.daraz.pk/products/1-led-led-299-i431769220-s2058482138.html?search=1
Most Stylish Led Smart  kids watch Amazing colour baby pink,Most,Kids Watches,5.0,2,0,295.0,400.0,105.0,26.25,Rs.,0,//www.daraz.pk/products/-i438879905-s2138112494.html?search=1
Children Watch Luminous Waterproof Student Electronic Watch for Boy Girls,Children,Kids Watches,4.9,40,73,780.0,1248.0,468.0,37.5,Rs.,Free Delivery,//www.daraz.pk/products/-i419236054-s1983480537.html?search=1
"Boys 3D Cartoon Electronic Watch - Silicone Strap, Digital Watch Display, Vibrant Colors - Available in Various Characters - Best Gift For Children !",3D,Kids Watches,5.0,5,0,379.0,999.0,620.0,62.06,Rs.,0,//www.daraz.pk/products/3d-i450966634-s2146332820.html?search=1
Pack of 2 Car Shape Digital Watch for Kids,Pack,Kids Watches,3.8,6,48,399.0,699.0,300.0,42.92,Rs.,0,//www.daraz.pk/products/2-i433288995-s2077559055.html?search=1
Black Red Led Smart Watch for Boy Men Smart Watch for girls Smart Watch for Kids Latest LED Watch for boys & girls Led Round Digital Watches for Kid Girl boys,Black,Kids Watches,3.9,77,655,191.0,599.0,408.0,68.11,Rs.,Free Delivery,//www.daraz.pk/products/led-led-led-i375712189-s1860869867.html?search=1
Ben 10 Projector Watch Digital Wrist Watch For Kids,Ben,Kids Watches,4.3,43,248,486.0,699.0,213.0,30.47,Rs.,0,//www.daraz.pk/products/10-i427684387-s2032357287.html?search=1
"Mosquito Repellent Watch, Baby Cute Cartoon Anti-Mosquito Band Bracelet",Mosquito,Kids Watches,4.2,54,373,199.0,461.0,262.0,56.83,Rs.,Free Delivery,//www.daraz.pk/products/mosquito-repellent-watch-baby-cute-cartoon-anti-mosquito-band-bracelet-i398961263-s1929273975.html?search=1
"Kids Watches For Girl or Boy , spiderman or many other design",Kids,Kids Watches,4.7,20,95,240.0,450.0,210.0,46.67,Rs.,Free Delivery,//www.daraz.pk/products/-i429387194-s2042812982.html?search=1
Fashion Sports Watch For Kids Children Waterproof Led Digital Watch Ultra-light Silicone Strap Teen Boys Girls WristWatch Unisex,Fashion,Kids Watches,4.2,25,146,179.0,499.0,320.0,64.13,Rs.,Free Delivery,//www.daraz.pk/products/led-i365464184-s2081919290.html?search=1
new Amazing kids watch Amazing colour black,new,Kids Watches,2.8,4,51,299.0,400.0,101.0,25.25,Rs.,0,//www.daraz.pk/products/-i438877942-s2124651294.html?search=1
Kids Wristwatch with Silicone Band Ben10 Game Cartoon Toys Watches 3D Strap Rubber Secure Care Children Time Teacher Student Watch,Kids,Kids Watches,5.0,5,0,240.0,350.0,110.0,31.43,Rs.,0,//www.daraz.pk/products/ben10-3d-i457107434-s2164805012.html?search=1
Waterproof Sport M4 Touch Led Digital Watch For Boys & Girls - All Colours,M4,Kids Watches,4.7,10,32,349.0,500.0,151.0,30.2,Rs.,Free Delivery,//www.daraz.pk/products/m4-led-i457677326-s2191235460.html?search=1
Frozen Digital 24 Images Automatic Projector Toy Watch for Kids School Girls Disney Frozen Digital Wrist Watch,Frozen,Kids Watches,4.9,15,58,590.0,999.0,409.0,40.94,Rs.,Free Delivery,//www.daraz.pk/products/24-i433539369-s2081057755.html?search=1
Cartoon 50m Waterproof Digital LED Children Pikachu Mickey Doraemon Watch Girl Boy Sports Silicone Band,Cartoon,Kids Watches,4.7,75,555,530.0,760.0,230.0,30.26,Rs.,Free Delivery,//www.daraz.pk/products/led-i347166862-s1774354365.html?search=1
Kids Digital Watch Children Cartoon Analog Digital Sport LED Electronic Waterproof Wrist Watch gift,Kids,Kids Watches,4.4,23,135,100.0,299.0,199.0,66.56,Rs.,0,//www.daraz.pk/products/kids-digital-watch-children-cartoon-analog-digital-sport-led-electronic-waterproof-wrist-watch-gift-i431274955-s2056712474.html?search=1
3D Cartoon Character Analog Watch For Kids | Kids Cartoon Character Watch,3D,Kids Watches,4.6,148,954,224.0,400.0,176.0,44.0,Rs.,0,//www.daraz.pk/products/3d-i389124855-s2025706311.html?search=1
"Smart  LED Watch For Boys And Girls All Age, New Style Digital Watch, Digital Smart Watch For Kids",LED,Kids Watches,4.2,21,122,305.0,500.0,195.0,39.0,Rs.,Free Delivery,//www.daraz.pk/products/led-i434532107-s2123696585.html?search=1
Wrist golden watch for boys - Unique and Stylish Stainles Steel High Quality,Wrist,Kids Watches,5.0,15,0,599.0,,,0.0,Rs.,Free Delivery,//www.daraz.pk/products/-i458104149-s2170100879.html?search=1
Sanrio Children's Watch Cartoon Luminous Watch Boy Girl Gift,Sanrio,Kids Watches,5.0,5,42,1086.0,1954.0,868.0,44.42,Rs.,Free Delivery,//www.daraz.pk/products/-i432162529-s2063324575.html?search=1
[Without Box]Hello Kitty LED Digital Watch for Children Life Waterproof Girls Luminous Watch Kids Watches Toy Student Watch Gifts,[Without,Kids Watches,4.7,53,307,998.0,1340.0,342.0,25.52,Rs.,Free Delivery,//www.daraz.pk/products/led-i243915671-s1462862563.html?search=1
3d Doll Cartoon Character Analog Watch For Girls,3d,Kids Watches,4.6,15,34,245.0,,,0.0,Rs.,0,//www.daraz.pk/products/3d-i438624208-s2123391891.html?search=1
Hot Selling Fashion Promotion Geneva Waterproof LED Light Men Quartz Watch Ladies Women Silicone Wristwatch,Hot,Kids Watches,4.6,153,799,469.0,1800.0,1331.0,73.94,Rs.,0,//www.daraz.pk/products/hot-selling-fashion-promotion-geneva-waterproof-led-light-men-quartz-watch-ladies-women-silicone-wristwatch-i248472537-s1466247116.html?search=1
